Quarter,Advertising_Spend,Revenue,Profit,Customer_Satisfaction,Employees
Q1,16792.57,58561.47,13181.07,9.9,129
Q1,22439.36,54531.21,14994.23,6.6,218
Q1,29021.74,100486.87,21763.64,6.8,292
Q1,19045.48,49060.38,6491.51,8.5,157
Q1,23598.79,69316.54,9156.26,7.0,228
Q1,13533.64,44456.29,12102.23,7.4,167
Q1,15217.82,67131.92,11249.06,7.5,282
Q1,22362.03,100421.48,13529.86,5.2,248
Q1,27420.58,91071.03,19657.42,7.5,255
Q1,21778.07,65680.05,14435.41,6.7,206
Q1,18434.71,62492.66,13983.41,6.9,132
Q1,19996.46,70865.58,11535.81,9.2,196
Q1,13747.96,39412.0,4824.73,6.0,243
Q1,23022.58,89322.11,24510.21,8.5,218
Q1,24411.67,77976.88,12487.44,7.2,222
Q1,17739.55,59970.04,13683.02,7.2,64
Q1,17649.79,61373.59,14303.78,8.4,180
Q1,21329.39,70336.98,15305.41,7.9,188
Q1,17816.4,63620.25,10819.59,8.2,230
Q1,19669.34,54802.42,8953.37,8.7,223
Q1,30498.61,88962.67,19182.75,7.1,79
Q1,18764.87,47169.55,12196.88,6.8,106
Q1,18208.3,60840.74,16516.89,6.2,281
Q1,16762.29,59752.46,8182.8,6.5,195
Q1,23720.96,78112.7,11308.58,10.0,228
Q2,19093.88,75935.95,20590.63,9.0,177
Q2,16753.13,51878.74,12339.13,5.9,97
Q2,26606.52,89167.63,23297.63,5.9,243
Q2,27098.02,73086.85,11139.99,8.1,273
Q2,16997.88,48822.43,10448.67,8.2,185
Q2,10667.3,40024.01,9292.87,8.2,71
Q2,25037.57,86107.49,19702.94,7.2,55
Q2,16576.85,48448.57,8977.73,7.3,253
Q2,23953.13,73538.71,9005.78,7.9,288
Q2,10149.48,16284.65,3473.0,7.6,234
Q2,24462.99,72264.98,11598.26,4.8,153
Q2,13944.14,52130.67,10011.21,7.2,85
Q2,23653.82,79078.89,21605.38,6.5,128
Q2,20071.37,67227.9,12359.56,7.7,269
Q2,15230.3,47711.67,12136.33,10.0,165
Q2,17964.82,55761.57,8373.52,7.9,106
Q2,23431.59,66034.72,15029.08,7.1,98
Q2,20529.47,70629.64,19516.46,8.6,222
Q2,22922.06,75268.12,10259.26,8.1,131
Q2,29882.2,97555.01,11836.47,8.0,115
Q2,12178.79,32493.9,6153.48,8.2,126
Q2,28086.06,65533.36,8835.21,10.0,94
Q2,20521.78,74589.05,17882.09,6.1,295
Q2,15506.08,43280.47,11526.79,8.1,128
Q2,13348.43,32752.38,6204.72,6.4,69
Q3,19054.4,66003.43,10652.55,8.2,241
Q3,24608.25,72365.45,13713.58,6.4,270
Q3,19362.25,70622.34,16649.33,7.0,172
Q3,27555.77,91592.95,11123.84,7.1,283
Q3,12744.12,46342.47,9931.78,8.7,270
Q3,19939.56,48153.08,10503.47,8.6,116
Q3,13738.03,54707.33,12146.68,6.0,132
Q3,21818.16,70248.8,11150.14,7.6,52
Q3,24434.44,72053.99,16878.53,6.6,231
Q3,17896.19,56912.07,7661.65,6.0,255
Q3,8000.0,15000.0,2278.25,7.2,113
Q3,20994.74,69170.22,18011.59,7.1,89
Q3,22183.69,58475.72,13928.67,10.0,108
Q3,22021.47,54739.85,6689.17,8.0,232
Q3,26178.91,65931.03,10531.84,5.8,111
Q3,14644.73,56525.55,8722.18,6.8,181
Q3,23401.08,66250.71,10820.66,8.7,109
Q3,25962.54,95821.15,15293.97,10.0,165
Q3,11107.06,29073.87,3779.73,5.6,124
Q3,21598.26,49881.03,9648.51,5.2,171
Q3,17479.1,43019.97,10205.94,9.7,272
Q3,19592.39,73094.53,15867.15,8.0,156
Q3,21738.38,65830.0,14986.82,6.5,145
Q3,17563.86,48965.09,6511.57,8.1,140
Q3,16621.46,53126.71,14463.14,4.3,207
Q4,20170.76,67547.18,17167.7,7.5,284
Q4,14563.77,56321.68,14013.65,7.9,179
Q4,14570.87,59654.69,15013.74,8.6,111
Q4,23396.87,68932.61,18558.98,6.3,98
Q4,14256.03,30933.22,6405.67,7.6,186
Q4,23331.56,68193.18,10368.44,6.4,141
Q4,22312.96,71772.98,15695.7,7.8,208
Q4,11370.97,25612.42,6117.81,6.4,173
Q4,16612.18,41926.25,9981.25,7.0,275
Q4,25970.55,83946.58,17077.41,6.3,110
Q4,15094.17,46305.4,6063.85,8.3,297
Q4,17677.98,55129.71,9889.06,8.5,256
Q4,22310.3,61576.98,16460.92,7.2,97
Q4,23916.95,71838.54,15338.38,7.5,202
Q4,18742.31,48858.83,10071.42,5.8,213
Q4,17012.45,61640.58,10048.44,7.1,185
Q4,27111.85,94399.23,16892.91,7.4,250
Q4,28694.5,70491.07,18557.15,10.0,299
Q4,24894.29,67877.19,15383.29,6.2,107
Q4,20426.59,48357.14,11894.98,9.3,150
Q4,15958.67,42971.64,8280.43,8.7,161
Q4,15847.78,48293.74,10665.17,7.8,222
Q4,22612.57,55602.51,8882.02,9.6,111
Q4,22091.99,59266.57,13801.63,7.9,88
Q4,27007.99,73685.2,13883.49,8.0,273
