Age,Tenure_Months,Monthly_Charges,Churn
45,6,69.48,1
40,1,92.28,1
43,48,67.5,0
49,1,56.41,1
32,49,67.45,0
67,18,75.87,1
29,67,65.98,0
27,38,65.81,0
55,72,50.96,0
51,10,51.74,1
49,34,36.95,0
49,12,99.99,1
41,15,40.12,0
31,23,51.14,0
42,49,50.63,0
33,72,82.9,1
53,35,59.1,0
40,12,89.95,1
32,13,51.53,0
38,32,70.58,1
46,6,48.29,1
35,2,107.9,1
32,10,41.25,0
44,8,71.2,1
44,8,77.68,1
35,6,73.28,1
36,1,61.29,0
44,1,62.4,1
24,72,65.88,0
25,13,62.06,1
33,11,84.28,1
39,27,109.21,1
45,5,53.85,0
59,71,37.6,0
52,37,63.23,0
40,2,116.59,1
41,12,48.93,1
29,50,97.78,0
41,69,98.55,0
38,15,53.93,0
45,22,76.38,1
32,4,97.57,1
48,72,57.42,0
60,6,60.93,1
40,68,53.37,0
46,25,44.7,0
50,22,52.01,0
37,17,40.52,0
44,6,65.68,1
42,4,49.6,1
43,5,69.68,1
32,4,33.88,0
42,36,71.62,0
47,10,81.67,1
59,1,25.13,0
53,72,72.48,0
67,51,89.55,1
32,63,40.81,0
52,72,98.45,0
44,4,73.38,1
68,12,50.9,1
32,34,63.88,1
31,28,76.17,1
34,4,66.52,1
18,40,75.78,1
35,6,46.59,0
32,6,68.39,1
43,18,36.73,0
46,21,62.78,1
64,20,46.92,0
53,2,50.29,1
35,50,89.72,1
31,7,86.83,1
47,3,77.18,1
26,52,43.15,0
63,72,58.67,0
56,47,89.26,0
36,39,67.83,0
21,25,111.39,1
58,19,72.87,1
40,2,68.84,1
56,12,58.82,0
22,11,67.67,0
34,7,61.95,1
42,30,79.16,0
42,16,84.13,1
36,2,49.28,1
49,5,38.38,0
29,27,28.28,0
40,1,75.16,1
43,45,42.93,0
48,16,21.94,0
50,15,72.77,0
28,21,114.86,1
23,41,64.88,0
57,10,81.77,1
45,27,66.64,1
33,20,63.02,0
60,7,83.38,1
43,50,59.19,0
56,38,70.35,1
42,25,71.43,1
66,45,51.64,1
63,48,84.84,1
39,29,61.5,0
53,43,49.89,0
49,28,75.73,0
58,27,47.03,0
30,23,65.56,1
50,33,64.82,1
54,4,86.72,1
20,51,74.49,1
27,49,64.5,0
18,1,81.36,1
38,41,92.8,1
50,3,76.16,1
60,9,65.21,1
42,32,38.76,0
61,4,43.7,0
25,40,58.9,0
21,42,52.81,0
41,16,61.26,0
46,1,66.13,1
41,8,75.59,1
18,23,63.59,0
40,72,74.73,0
26,23,66.29,1
50,7,25.49,0
46,24,46.21,0
30,18,62.12,1
35,36,40.81,0
29,2,77.0,1
41,34,95.62,1
53,18,89.38,1
30,72,60.73,0
48,10,94.81,1
35,24,67.97,0
32,64,58.26,0
40,2,52.73,0
29,66,58.95,0
35,27,57.24,0
27,1,68.41,1
65,8,68.21,1
42,29,65.06,0
33,1,73.74,1
44,20,88.81,1
40,10,83.99,1
39,23,35.3,0
49,1,20.0,0
51,49,83.69,0
