Month,Region,Marketing_Spend,Sales_Revenue,Units_Sold
Jan,East,17953.87,52090.52,1067
Feb,West,15685.47,54376.46,1308
Mar,North,14537.41,27844.88,687
Apr,East,13795.59,40104.72,676
May,East,9085.91,27519.61,485
Jun,West,12120.62,40192.32,745
Jul,North,13157.44,26945.23,559
Aug,North,19228.49,43276.12,995
Sep,East,16374.47,50024.05,1159
Oct,South,7947.84,24629.83,547
Nov,East,16296.34,47633.69,934
Dec,East,13459.67,40458.66,745
Jan,East,12292.31,28978.27,544
Feb,East,17446.71,50708.82,1112
Mar,West,19124.0,55891.78,945
Apr,North,18725.12,46715.52,853
May,West,11643.13,47526.96,930
Jun,West,13763.15,42327.48,810
Jul,West,16325.05,36179.71,747
Aug,East,18902.18,58178.53,1294
Sep,South,13083.3,28835.79,611
Oct,North,14257.36,46217.28,837
Nov,South,10574.66,38877.81,965
Dec,West,10215.17,22037.02,520
Jan,West,18250.1,58807.29,1437
Feb,South,20424.96,60492.14,1482
Mar,South,14711.96,47769.97,836
Apr,South,19014.13,68413.91,1265
May,West,16446.54,44087.21,890
Jun,West,12419.52,28744.77,685
Jul,North,16445.58,38931.51,781
Aug,North,21152.15,52699.54,1065
Sep,West,14856.7,40981.95,942
Oct,South,21258.57,62253.21,1278
Nov,South,5000.0,16213.53,337
Dec,North,18287.61,57822.77,1105
Jan,West,15348.19,43078.95,817
Feb,North,13803.97,50279.39,1229
Mar,North,15367.04,40910.46,861
Apr,East,7049.72,41500.57,790
May,East,14121.31,44545.01,889
Jun,East,16428.45,39142.4,685
Jul,South,20911.58,49985.28,940
Aug,West,12926.92,40055.16,925
Sep,West,11766.03,31157.18,752
Oct,West,12992.97,42092.32,796
Nov,West,18661.61,56038.41,1382
Dec,East,16315.0,45099.37,872
Jan,South,12880.96,29292.34,498
Feb,South,17053.07,35629.82,691
Mar,East,15388.31,39515.15,827
Apr,South,18874.58,59700.01,1129
May,East,12191.79,35849.76,729
Jun,West,13689.35,28364.27,557
Jul,East,13431.57,38993.84,662
Aug,West,9145.94,28691.17,601
Sep,West,16184.48,38245.68,645
Oct,North,16044.22,46153.62,794
Nov,East,15020.45,42522.93,968
Dec,North,14061.65,30228.86,730
Jan,East,9338.52,29010.15,690
Feb,East,13317.42,41775.05,1034
Mar,North,13629.14,46826.0,1117
Apr,North,11790.89,41444.91,772
May,East,14354.86,29172.25,704
Jun,South,16616.2,39022.76,841
Jul,West,22544.74,67245.55,1181
Aug,North,15698.31,48065.56,1187
Sep,West,16030.2,49004.94,870
Oct,South,14702.22,71988.07,1577
Nov,South,7324.92,25076.9,591
Dec,South,14893.94,50787.56,941
Jan,North,15240.92,50306.59,956
Feb,South,24852.97,74799.45,1299
Mar,North,14230.56,37323.41,682
Apr,South,16206.19,51449.09,917
May,West,14861.15,35428.62,776
Jun,West,10325.29,27016.26,620
Jul,East,19571.29,50916.7,925
Aug,West,18007.73,51076.64,909
Sep,East,18164.13,69376.83,1159
Oct,West,11362.45,16876.74,349
Nov,North,20611.18,63201.39,1332
Dec,West,9392.6,13397.55,241
Jan,East,17347.43,44797.35,956
Feb,East,23761.82,75244.7,1283
Mar,South,11037.85,31420.22,549
Apr,North,12734.81,27035.51,556
May,West,15398.61,37393.68,679
Jun,South,12986.1,41797.86,758
Jul,West,8797.35,18789.65,446
Aug,West,15274.25,44499.57,766
Sep,South,10750.79,30466.79,608
Oct,South,16894.37,42091.43,744
Nov,South,11322.3,48853.99,1052
Dec,South,21199.74,64430.62,1112
Jan,South,11866.99,17026.43,356
Feb,West,13711.75,39884.53,991
Mar,South,18254.07,45817.1,788
Apr,North,10076.54,35033.78,837
